Time Stamp,Data Point 1,Data Point 2,Data Point 3,Data Point 4,Data Point 5
06-Feb-20 10:58:00,Off,No Data,206.2567291,205.6083679,Off
06-Feb-20 10:59:00,Off,No Data,208.6462097,207.9033508,Off
06-Feb-20 11:00:00,Off,No Data,209.0990753,208.4781494,Off
06-Feb-20 11:01:00,Off,No Data,210.6022339,209.8555603,Off
06-Feb-20 11:02:00,Off,No Data,211.1301575,211.0212402,Off
06-Feb-20 11:03:00,Off,No Data,211.3061066,211.3682861,Off
06-Feb-20 11:04:00,Off,No Data,212.326355,211.7153168,Off
06-Feb-20 11:05:00,Off,No Data,211.0022125,211.0546875,Off
06-Feb-20 11:06:00,Off,No Data,210.8115997,210.6573181,Off
06-Feb-20 11:07:00,Off,No Data,211.2286072,211.2013092,Off
06-Feb-20 11:08:00,Off,No Data,213.0284119,213.096405,Off
06-Feb-20 11:09:00,Off,No Data,214.8513184,215.1748352,Off
06-Feb-20 11:10:00,Off,No Data,218.0510101,217.4858856,Off
06-Feb-20 11:11:00,Off,No Data,220.7791595,220.1313782,Off
06-Feb-20 11:12:00,Off,No Data,222.0176392,221.7553558,Off
06-Feb-20 11:13:00,Off,No Data,224.102478,223.022171,Off
06-Feb-20 11:14:00,Off,No Data,225.0788422,224.2889709,Off
06-Feb-20 11:15:00,Off,No Data,226.180542,225.5540161,Off
06-Feb-20 11:16:00,Off,No Data,226.3154449,225.8762207,Off
06-Feb-20 11:17:00,Off,No Data,226.4503632,226.1984406,Off
06-Feb-20 11:18:00,Off,No Data,228.6772308,227.8394012,Off
06-Feb-20 11:19:00,Off,No Data,230.3321533,229.576828,Off
06-Feb-20 11:20:00,Off,No Data,231.9379425,231.145813,Off
06-Feb-20 11:21:00,Off,No Data,232.5589294,232.4560852,Off
06-Feb-20 11:22:00,Off,No Data,234.9676971,233.9879761,Off
06-Feb-20 11:23:00,Off,No Data,235.7792206,235.5516357,Off
06-Feb-20 11:24:00,Off,No Data,237.0899048,236.8278046,Off
06-Feb-20 11:25:00,Off,No Data,239.1213379,239.1468811,Off
06-Feb-20 11:26:00,Off,No Data,240.2512512,239.5958405,Off
06-Feb-20 11:27:00,Off,No Data,242.1870728,241.5267334,Off
06-Feb-20 11:28:00,Off,No Data,244.0819092,243.4732666,Off
06-Feb-20 11:29:00,Off,No Data,246.8204041,245.6963806,Off
06-Feb-20 11:30:00,Off,No Data,247.3397217,247.2949677,Off
06-Feb-20 11:31:00,Off,No Data,248.5999146,248.0635223,Off
06-Feb-20 11:32:00,Off,No Data,250.4672089,249.1156158,Off
06-Feb-20 11:33:00,Off,No Data,251.1010132,250.365799,Off
06-Feb-20 11:34:00,Off,No Data,251.1529694,251.3442078,Off
06-Feb-20 11:35:00,Off,No Data,253.9837189,253.3498077,Off
06-Feb-20 11:36:00,Off,No Data,255.5396881,255.4662476,Off
06-Feb-20 11:37:00,Off,No Data,257.3859558,257.5311279,Off
06-Feb-20 11:38:00,Off,No Data,258.5648804,258.4719543,Off
06-Feb-20 11:39:00,Off,No Data,260.5139465,259.8725586,Off
06-Feb-20 11:40:00,Off,No Data,262.337738,261.6087036,Off
06-Feb-20 11:41:00,Off,No Data,262.1815186,261.8097839,Off
06-Feb-20 11:42:00,Off,No Data,262.4159546,261.6856995,Off
06-Feb-20 11:43:00,Off,No Data,262.9936523,262.8100586,Off
06-Feb-20 11:44:00,Off,No Data,265.6221313,264.9764404,Off
06-Feb-20 11:45:00,Off,No Data,266.2551575,266.333252,Off
06-Feb-20 11:46:00,Off,No Data,268.4210205,267.8332214,Off
06-Feb-20 11:47:00,Off,No Data,271.3721924,270.7102661,Off
06-Feb-20 11:48:00,Off,No Data,273.9881897,273.5872803,Off
06-Feb-20 11:49:00,Off,No Data,275.7810364,275.1806946,Off
06-Feb-20 11:50:00,Off,No Data,276.9735107,276.447998,Off
06-Feb-20 11:51:00,Off,No Data,278.2746887,277.8907166,Off
06-Feb-20 11:52:00,Off,No Data,277.9676208,278.1096802,Off
06-Feb-20 11:53:00,Off,No Data,279.6902466,279.4820251,Off
06-Feb-20 11:54:00,Off,No Data,281.8612976,281.3954163,Off
06-Feb-20 11:55:00,Off,No Data,283.5219421,283.158844,Off
06-Feb-20 11:56:00,Off,No Data,284.5341187,284.0128174,Off
06-Feb-20 11:57:00,Off,No Data,284.8370056,284.2260132,Off
06-Feb-20 11:58:00,Off,No Data,287.1496277,286.3878174,Off
06-Feb-20 11:59:00,Off,No Data,289.1148682,288.987854,Off
06-Feb-20 12:00:00,Off,No Data,289.948822,290.0948181,Off
06-Feb-20 12:01:00,Off,No Data,290.9804688,290.6204224,Off
06-Feb-20 12:02:00,Off,No Data,293.5551147,293.0402222,Off
06-Feb-20 12:03:00,Off,No Data,295.4618835,295.3766785,Off
06-Feb-20 12:04:00,Off,No Data,297.2632446,297.0195618,Off
06-Feb-20 12:05:00,Off,No Data,299.7411194,299.4875488,Off
06-Feb-20 12:06:00,Off,No Data,302.108551,302.0454102,Off
06-Feb-20 12:07:00,Off,No Data,301.9070435,302.3747253,Off
06-Feb-20 12:08:00,Off,No Data,303.7679749,304.2845459,Off
06-Feb-20 12:09:00,Off,No Data,308.2476807,308.5351257,Off
06-Feb-20 12:10:00,Off,No Data,313.4837036,313.2187195,Off
06-Feb-20 12:11:00,Off,No Data,314.6698914,314.6264954,Off
06-Feb-20 12:12:00,Off,No Data,315.3275452,314.8465576,Off
06-Feb-20 12:13:00,Off,No Data,316.9025269,316.5497131,Off
06-Feb-20 12:14:00,Off,No Data,318.4050293,318.2642212,Off
06-Feb-20 12:15:00,Off,No Data,318.2138672,318.5490417,Off
06-Feb-20 12:16:00,Off,No Data,319.6150867,319.5769653,Off
06-Feb-20 12:17:00,Off,No Data,322.027832,321.9611206,Off
06-Feb-20 12:18:00,Off,No Data,324.0302124,323.6763611,Off
