Data Point 1,06-Feb-20 9:57:00,Off
Data Point 2,06-Feb-20 9:57:00,No Data
Data Point 3,06-Feb-20 9:57:00,153.9157196
Data Point 4,06-Feb-20 9:57:00,150.2177887
Data Point 1,06-Feb-20 9:58:00,Off
Data Point 2,06-Feb-20 9:58:00,No Data
Data Point 3,06-Feb-20 9:58:00,153.9165741
Data Point 4,06-Feb-20 9:58:00,150.2193909
Data Point 1,06-Feb-20 9:59:00,Off
Data Point 2,06-Feb-20 9:59:00,No Data
Data Point 3,06-Feb-20 9:59:00,153.9174438
Data Point 4,06-Feb-20 9:59:00,150.220993
Data Point 1,06-Feb-20 10:00:00,Off
Data Point 2,06-Feb-20 10:00:00,No Data
Data Point 3,06-Feb-20 10:00:00,153.9182983
Data Point 4,06-Feb-20 10:00:00,150.2225952
Data Point 1,06-Feb-20 10:01:00,Off
Data Point 2,06-Feb-20 10:01:00,No Data
Data Point 3,06-Feb-20 10:01:00,153.9191681
Data Point 4,06-Feb-20 10:01:00,150.2241974
Data Point 1,06-Feb-20 10:02:00,Off
Data Point 2,06-Feb-20 10:02:00,No Data
Data Point 3,06-Feb-20 10:02:00,153.9150226
Data Point 4,06-Feb-20 10:02:00,150.2257996
Data Point 1,06-Feb-20 10:03:00,Off
Data Point 2,06-Feb-20 10:03:00,No Data
Data Point 3,06-Feb-20 10:03:00,153.9208923
Data Point 4,06-Feb-20 10:03:00,150.2274017
Data Point 1,06-Feb-20 10:04:00,Off
Data Point 2,06-Feb-20 10:04:00,No Data
Data Point 3,06-Feb-20 10:04:00,153.9217468
Data Point 4,06-Feb-20 10:04:00,150.2290039
Data Point 1,06-Feb-20 10:05:00,Off
Data Point 2,06-Feb-20 10:05:00,No Data
Data Point 3,06-Feb-20 10:05:00,153.9226013
Data Point 4,06-Feb-20 10:05:00,150.2306213
Data Point 1,06-Feb-20 10:06:00,Off
Data Point 2,06-Feb-20 10:06:00,No Data
Data Point 3,06-Feb-20 10:06:00,153.9234711
Data Point 4,06-Feb-20 10:06:00,150.2322235
Data Point 1,06-Feb-20 10:07:00,Off
Data Point 2,06-Feb-20 10:07:00,No Data
Data Point 3,06-Feb-20 10:07:00,153.9243256
Data Point 4,06-Feb-20 10:07:00,150.2338257
Data Point 1,06-Feb-20 10:08:00,Off
Data Point 2,06-Feb-20 10:08:00,No Data
Data Point 3,06-Feb-20 10:08:00,153.9251953
Data Point 4,06-Feb-20 10:08:00,150.2354279
Data Point 1,06-Feb-20 10:09:00,Off
Data Point 2,06-Feb-20 10:09:00,No Data
Data Point 3,06-Feb-20 10:09:00,153.9260498
Data Point 4,06-Feb-20 10:09:00,150.23703
Data Point 1,06-Feb-20 10:10:00,Off
Data Point 2,06-Feb-20 10:10:00,No Data
Data Point 3,06-Feb-20 10:10:00,153.9269043
Data Point 4,06-Feb-20 10:10:00,150.2386322
Data Point 1,06-Feb-20 10:11:00,Off
Data Point 2,06-Feb-20 10:11:00,No Data
Data Point 3,06-Feb-20 10:11:00,153.927774
Data Point 4,06-Feb-20 10:11:00,150.2402344
Data Point 1,06-Feb-20 10:12:00,Off
Data Point 2,06-Feb-20 10:12:00,No Data
Data Point 3,06-Feb-20 10:12:00,153.9286285
Data Point 4,06-Feb-20 10:12:00,150.2418365
Data Point 1,06-Feb-20 10:13:00,Off
Data Point 2,06-Feb-20 10:13:00,No Data
Data Point 3,06-Feb-20 10:13:00,153.9294983
Data Point 4,06-Feb-20 10:13:00,150.2434387
Data Point 1,06-Feb-20 10:14:00,Off
Data Point 2,06-Feb-20 10:14:00,No Data
Data Point 3,06-Feb-20 10:14:00,153.9303528
Data Point 4,06-Feb-20 10:14:00,150.2450562
Data Point 1,06-Feb-20 10:15:00,Off
Data Point 2,06-Feb-20 10:15:00,No Data
Data Point 3,06-Feb-20 10:15:00,153.9312225
Data Point 4,06-Feb-20 10:15:00,150.2466583
Data Point 1,06-Feb-20 10:16:00,Off
Data Point 2,06-Feb-20 10:16:00,No Data
Data Point 3,06-Feb-20 10:16:00,153.932077
Data Point 4,06-Feb-20 10:16:00,150.2482605
Data Point 1,06-Feb-20 10:17:00,Off
Data Point 2,06-Feb-20 10:17:00,No Data
Data Point 3,06-Feb-20 10:17:00,153.9329315
